,timestamps,x,y,z
136,1528302785000000000,-0.554133,-0.807701,-0.20138399999999998
137,1528302785000000000,-0.527844,-0.826211,-0.196866
138,1528302785000000000,-0.5136270000000001,-0.8370569999999999,-0.188475
139,1528302785000000000,-0.5096069999999999,-0.842879,-0.172785
140,1528302785000000000,-0.513691,-0.844563,-0.151107
141,1528302785000000000,-0.523872,-0.8415469999999999,-0.131741
142,1528302785000000000,-0.53638,-0.835076,-0.122245
143,1528302785000000000,-0.5482779999999999,-0.826356,-0.128557
144,1528302785000000000,-0.563237,-0.812557,-0.150052
145,1528302785000000000,-0.5836279999999999,-0.790308,-0.186526
146,1528302785000000000,-0.606143,-0.757692,-0.241852
147,1528302785000000000,-0.626898,-0.714009,-0.311753
148,1528302785000000000,-0.6498149999999999,-0.6598,-0.377365
149,1528302785000000000,-0.678717,-0.602748,-0.41956899999999997
150,1528302785000000000,-0.692054,-0.553929,-0.462844
151,1528302786000000000,-0.68614,-0.522077,-0.506605
152,1528302786000000000,-0.6758890000000001,-0.5208550000000001,-0.5214260000000001
153,1528302786000000000,-0.6706449999999999,-0.5408390000000001,-0.50767
154,1528302786000000000,-0.672806,-0.555851,-0.48822299999999996
155,1528302786000000000,-0.675926,-0.56057,-0.47841999999999996
156,1528302786000000000,-0.678928,-0.558971,-0.476034
157,1528302786000000000,-0.6821189999999999,-0.5555,-0.47553500000000004
158,1528302786000000000,-0.6837310000000001,-0.557196,-0.47121499999999994
159,1528302786000000000,-0.683908,-0.566454,-0.45978100000000005
160,1528302786000000000,-0.68613,-0.577637,-0.442223
161,1528302786000000000,-0.69055,-0.589859,-0.418576
162,1528302786000000000,-0.694268,-0.604338,-0.390855
163,1528302786000000000,-0.695713,-0.621919,-0.359444
164,1528302786000000000,-0.693533,-0.643841,-0.323234
165,1528302786000000000,-0.689937,-0.6683319999999999,-0.278065
166,1528302786000000000,-0.685757,-0.692802,-0.223077
167,1528302786000000000,-0.677346,-0.7166710000000001,-0.166088
168,1528302786000000000,-0.672208,-0.729196,-0.128105
169,1528302786000000000,-0.662905,-0.739611,-0.116327
170,1528302786000000000,-0.6347079999999999,-0.762067,-0.12805899999999998
171,1528302786000000000,-0.596971,-0.7872,-0.15473299999999998
172,1528302786000000000,-0.566149,-0.803592,-0.183619
173,1528302786000000000,-0.5496770000000001,-0.81002,-0.204258
174,1528302786000000000,-0.5454979999999999,-0.810388,-0.213785
