time_tick,mag_X_value,mag_Y_value,mag_Z_value
10.659456,41.763092,-26.187088,-21.677002
10.684017,42.592850,-24.765594,-21.305450
10.711933,43.425720,-22.893860,-21.457092
10.734014,42.678986,-22.965164,-22.874176
10.759038,41.100891,-24.008636,-23.310974
10.784570,38.252411,-25.720566,-26.661499
10.809646,29.245056,-30.931839,-32.058289
10.833879,24.213821,-33.685760,-33.963928
10.859705,18.657944,-35.538223,-34.585236
10.884477,13.027847,-37.390244,-35.505737
10.908883,1.318176,-39.593582,-35.160736
10.934103,-3.711655,-40.248901,-34.282990
10.958678,-7.538162,-40.084030,-33.415253
10.985277,-14.580643,-38.105942,-33.254883
11.010348,-17.571838,-36.068848,-33.513824
11.032888,-20.342377,-34.932770,-33.478821
11.058018,-22.293350,-34.550476,-32.480835
11.083340,-25.218811,-33.564651,-30.719696
11.108000,-26.568756,-33.259476,-30.253632
11.133532,-27.842834,-32.879501,-30.013123
11.158337,-28.667542,-32.276627,-29.176605
11.182644,-30.768158,-31.668839,-27.951050
11.208905,-32.041794,-30.989014,-27.409332
11.232998,-32.266907,-30.688370,-26.880676
11.258576,-33.244583,-30.834885,-26.045471
11.283268,-33.171127,-30.985367,-25.671906
11.310254,-33.398270,-30.909943,-24.694122
11.333094,-33.552490,-31.359818,-23.719208
11.358440,-34.537247,-32.481934,-21.612885
11.383227,-34.466034,-33.007553,-20.940765
11.409483,-34.921753,-33.831223,-19.964020
11.433495,-34.774567,-34.207062,-19.442169
11.459563,-34.183487,-35.784943,-18.404968
11.483137,-33.365814,-37.063660,-17.519073
11.508495,-32.848419,-38.266281,-16.404572
11.533113,-32.330368,-39.169037,-15.063873
11.558460,-30.610153,-40.750595,-15.689148
11.582699,-29.486877,-41.804596,-16.680695
11.613297,-26.871780,-43.690521,-15.742035
11.632575,-18.111359,-48.299805,-17.281830
11.657898,-12.638107,-49.670944,-18.772522
11.682662,-6.787399,-50.518524,-20.415253
11.708560,-0.631912,-50.317215,-22.282166
11.732457,12.054718,-48.192337,-23.538239
11.758338,17.384949,-46.638855,-23.140625
11.782604,21.741333,-44.781479,-22.731140
11.808497,24.820343,-43.519012,-22.309967
11.833412,29.927536,-40.765198,-20.780090
11.857719,32.558960,-38.751053,-20.126007
11.882306,34.965729,-36.735931,-19.619415
11.909369,38.801147,-33.451828,-18.523468
11.932374,39.852783,-32.481476,-17.631165
11.957534,40.903168,-31.736206,-16.589722
11.983605,41.952728,-30.916153,-15.097961
12.008575,43.827576,-29.274994,-12.412048
12.032315,44.651199,-29.203613,-11.745819
12.056741,44.952316,-28.455200,-10.996124
12.082275,45.326492,-28.381912,-10.549988
12.108685,45.779648,-27.783569,-10.852570
12.133652,45.706665,-27.558060,-11.300842
12.158322,45.181961,-27.855667,-11.896271
12.181823,43.983215,-28.899780,-14.062286
12.206970,42.184387,-29.716690,-15.845734
12.232196,40.610565,-31.059097,-18.458771
12.257178,37.686981,-32.470993,-21.282288
12.282236,27.937714,-36.778397,-28.467285
12.307155,21.563828,-38.476318,-31.628937
12.331831,15.187927,-39.874878,-33.514435
12.356136,8.365631,-39.996948,-34.789825
12.381644,-4.598801,-38.669037,-36.891907
12.406625,-9.466507,-36.999451,-37.131714
12.432629,-13.434586,-35.183640,-37.005798
12.456822,-17.027679,-33.294403,-36.733704
12.481400,-23.168243,-30.270370,-35.679077
12.506640,-25.794296,-29.435745,-33.921875
12.530078,-27.221512,-29.130722,-32.554932
12.554918,-29.328033,-29.723129,-30.884125
12.580437,-29.929749,-29.721054,-30.202484
12.605026,-30.228622,-29.344940,-30.047729
12.629653,-30.374008,-28.519104,-30.567780
12.654863,-32.167526,-26.787018,-30.391144
12.679645,-32.691299,-26.335037,-30.158569
12.704610,-33.893616,-26.105881,-28.869446
12.730789,-34.948639,-26.327484,-27.208710
12.754585,-35.108383,-27.827591,-25.712952
12.779523,-35.185410,-28.052505,-25.263000
12.805459,-35.408173,-27.676468,-25.559082
12.829441,-36.992783,-28.571335,-23.145233
12.854476,-38.049133,-28.793213,-20.959473
12.880085,-39.779144,-28.487534,-18.464203
12.904706,-41.653030,-26.831146,-16.261993
12.930129,-45.172745,-23.368774,-12.834412
12.954617,-46.371033,-21.190384,-10.037537
12.979360,-48.015213,-18.784561,-8.509827
13.004758,-49.056564,-15.856018,-7.286652
13.030061,-50.838089,-10.224701,-5.669525
13.054602,-51.126572,-7.523392,-5.955566
13.079441,-51.413986,-4.746948,-6.541290
13.105083,-51.089233,1.176956,-6.971161
13.129850,-50.997223,4.777115,-8.007751
13.155343,-50.154587,8.299454,-9.427948
13.180649,-49.236008,11.821686,-11.223969
13.205806,-46.582336,17.437317,-13.705658
13.230688,-46.050735,18.710480,-14.306458
13.255776,-46.423462,19.237000,-14.375244
13.281063,-45.747055,19.684219,-14.230927
13.306013,-44.988968,21.706192,-14.231171
13.334852,-44.381836,23.578690,-14.080322
13.355492,-43.698563,25.600983,-14.154755
13.380694,-42.039307,27.769470,-14.389343
13.404918,-39.244995,32.633270,-14.325623
13.431023,-37.963669,34.353027,-14.107849
13.456242,-37.362030,35.325180,-13.210571
