time_tick,acc_X_value,acc_Y_value,acc_Z_value
10.357924,-1.897024,-2.234618,-10.037151
10.391261,-2.452947,-5.082922,-8.195645
10.424511,-3.038051,-5.296014,-8.050491
10.457896,-3.778335,-5.867949,-9.035291
10.490340,-3.391957,-6.016993,-7.873015
10.524548,-2.904121,-5.482020,-9.051603
10.558085,-2.594060,-5.583478,-8.113641
10.590833,-2.582089,-5.407946,-7.679975
10.624535,-1.767732,-4.915920,-7.262471
10.657886,-2.104279,-4.786629,-7.236883
10.691209,-3.231539,-5.158641,-7.499955
10.724551,-3.362776,-5.003312,-7.688954
10.758029,-3.520350,-4.965003,-7.693892
10.791286,-3.642309,-5.122428,-7.290754
10.824681,-3.885479,-4.615886,-8.100622
10.858009,-4.045447,-4.957072,-8.694106
10.891294,-4.886291,-4.915322,-7.900998
10.924579,-4.819850,-5.174204,-6.450210
10.957890,-4.442450,-4.800246,-6.440932
10.991142,-5.280002,-4.229957,-7.762129
11.024655,-5.084418,-4.586407,-7.384281
11.057938,-5.304094,-4.458761,-7.005684
11.090761,-5.485462,-4.215292,-7.476162
11.124591,-5.329683,-3.545790,-8.340799
11.157934,-5.021419,-3.169438,-8.259991
11.191277,-5.025908,-2.721856,-8.532790
11.224608,-4.168604,-2.709136,-8.233654
11.257939,-3.483239,-2.836632,-8.702336
11.291292,-2.767347,-3.265957,-7.560411
11.324615,0.227906,-2.493800,-9.120289
11.357302,4.214095,-1.268523,-9.103229
11.390631,7.154130,1.084014,-15.651305
11.424625,-13.448561,-2.403116,-16.360763
11.458086,-25.695490,-7.149940,-21.018399
11.491344,-22.401549,-4.792465,-20.005167
11.524594,-12.132003,3.730000,-7.393559
11.557925,-1.507952,7.191541,-0.075869
11.591309,12.344047,10.692737,-0.136175
11.624646,28.789657,12.145171,-3.974367
11.666915,16.520432,11.968593,-6.129674
11.691258,7.670847,10.921690,-0.090384
11.724593,-5.768287,5.162981,-3.609837
11.757934,-27.602988,-6.138204,-1.913035
11.791428,-44.711517,-22.545655,-2.928363
11.824673,-37.804747,-21.942445,-4.361194
11.857876,-21.670843,-6.886269,-4.756401
11.891247,-9.369893,3.790605,-4.263028
11.924609,3.931419,10.009168,-2.352237
11.957922,19.274311,12.240793,2.021078
11.991320,30.919824,13.709688,-1.198341
12.024608,19.012885,13.958245,-8.825492
12.057926,8.481313,12.069751,-1.446449
12.091569,-5.218947,12.097734,0.259930
12.124614,-24.718471,2.686540,-12.302296
12.157927,-36.880103,-4.769420,-19.759453
12.191331,-41.040177,-7.821238,-34.096145
12.224636,-22.971838,0.805678,-20.269885
12.257930,-12.612356,7.343578,-8.341098
12.291483,-2.026914,12.275809,-5.913740
12.324299,3.423980,12.243337,-3.029970
12.357679,9.840969,13.874744,-1.021313
12.391533,28.146342,16.828696,-0.933922
12.424199,31.284205,13.758921,2.696865
12.457930,15.805288,12.823952,0.166852
12.491300,0.125251,10.809009,-1.967655
12.524609,-18.568894,5.057483,-9.267537
12.557964,-17.581400,-3.898648,-13.016841
12.591327,-17.993666,-7.278483,-14.021843
12.624611,-10.927527,-6.570373,-12.769033
12.657031,-4.531637,-4.408032,-11.410125
12.691262,-2.164585,-3.064987,-10.927826
12.723777,-2.444567,-3.306959,-9.315423
12.757975,-1.006498,-2.492453,-9.596602
12.791232,-0.377848,-1.837765,-10.758580
12.824599,-0.389970,-1.908097,-9.816428
12.857926,0.173436,-1.415922,-9.287141
12.891243,-1.393026,-1.874876,-9.829596
12.924618,0.073624,-1.517230,-11.159323
12.957925,-0.175082,-2.036042,-10.459743
12.991266,0.779640,-2.057740,-9.203939
13.024958,0.535722,-2.552909,-8.688120
13.057930,-0.395207,-2.564282,-9.676661
13.091285,-0.156227,-2.317820,-9.853389
13.125628,0.269208,-1.650113,-10.376541
13.158275,0.254543,-1.746632,-9.362710
13.191272,0.173287,-2.253323,-10.036702
13.224702,-0.280431,-2.171319,-9.634462
13.257851,-0.686562,-2.571165,-9.378872
13.291220,-0.533926,-3.009619,-9.439926
13.324557,-0.920753,-2.839176,-9.185533
13.357846,-1.071443,-2.984928,-8.861107
13.391176,-1.389435,-3.340330,-7.880497
13.424502,-1.296058,-3.219568,-8.777307
13.457854,-1.419663,-2.996899,-10.335539
13.491212,-0.932276,-2.818076,-10.988731
13.524668,-0.930480,-2.997199,-9.075545
13.557913,-0.603360,-3.018598,-9.053548
13.591238,-0.536171,-2.621744,-9.643440
13.624595,-0.170892,-2.611269,-9.139593
13.657912,-0.641669,-3.078305,-8.891335
13.691260,-0.681773,-2.962930,-10.255929
13.724581,-0.612489,-2.742357,-10.132174
13.757935,-0.682073,-2.756872,-8.629609
13.791293,-0.626854,-2.746397,-9.628925
13.823812,-0.507439,-2.593312,-9.853240
13.857942,-0.266215,-2.526123,-9.745796
13.891253,-0.712899,-2.931356,-9.883917
13.924554,-0.838599,-3.743917,-5.596347
