time_tick,gyr_X_value,gyr_Y_value,gyr_Z_value
10.019556,-2.554503,-2.219850,-7.436480
10.049494,-1.373852,-2.065245,-7.117938
10.079462,-0.016191,0.079961,-5.297332
10.119409,0.330346,4.627115,-3.548721
10.149378,1.143826,5.803398,-0.744378
10.179315,0.074794,6.084510,1.709513
10.219263,-0.373306,1.588694,2.353387
10.249238,0.143250,0.095672,2.245970
10.279176,1.386862,-0.466051,0.381168
10.319123,2.576774,-4.275166,-1.147219
10.349092,3.223001,-5.921890,-1.722210
10.379060,2.634575,-5.245144,-2.180098
10.418977,2.827164,-4.987559,-3.008838
10.448945,3.462877,-3.631912,-4.813292
10.478914,3.334644,-2.291979,-5.222153
10.518861,0.695143,-0.971095,-2.119573
10.548799,1.258435,-0.623565,-2.058854
10.578767,1.541962,0.018615,-1.830447
10.618715,0.573807,0.318734,-0.397766
10.648652,-0.271984,0.486481,1.098036
10.678621,-1.884741,1.548709,2.860183
10.718568,-3.144916,2.758466,5.302470
10.748536,-2.541272,4.009723,7.413283
10.778474,-0.305820,3.887504,7.946616
10.818422,1.280636,1.367312,10.330243
10.848390,2.366329,-0.720356,10.003178
10.888337,1.967629,0.085018,6.048267
10.918275,0.037197,0.537098,2.933420
10.948243,0.045394,0.171515,2.393229
10.988191,0.717041,-0.521364,3.652670
11.018129,1.719549,-0.708568,3.151668
11.048097,1.169121,-0.580775,2.501321
11.088044,0.795086,-1.363481,2.442109
11.118013,0.971282,-2.172731,2.041442
11.147950,0.878489,-2.773678,2.504055
11.187898,0.749585,-3.583458,3.705095
11.217866,1.009589,-3.332385,4.298869
11.247779,0.686409,-2.285206,3.874939
11.287726,0.685007,-0.931640,4.070109
11.317695,1.512586,0.058103,4.043950
11.347663,1.511413,0.792439,2.148845
11.387610,1.046703,1.146031,-0.960711
11.417548,-0.049793,1.757587,-2.560851
11.447516,-0.642737,2.162562,-3.515719
11.487464,-0.945012,2.684267,-4.424115
11.517402,-1.723034,2.988316,-4.620810
11.547370,-2.247980,2.458468,-4.217027
11.587317,-1.410989,0.006733,-2.291514
11.617286,-0.563706,-0.568149,-1.271215
11.647223,-0.594008,0.540334,-1.221754
11.687171,1.289282,0.790695,-0.725898
11.717139,0.706316,0.984626,0.328350
11.747077,-0.248450,0.924482,0.685811
11.787025,-0.615666,1.144680,0.345222
11.816993,-1.137488,0.729932,0.245465
11.846931,0.167505,0.817174,-0.100233
11.886878,0.864419,0.190330,-0.090421
11.916846,0.471467,-0.263012,0.161380
11.946815,0.357347,-0.637973,0.024542
11.986762,0.065612,-0.411513,-0.713044
12.016700,0.663849,-0.167428,-1.174248
12.046668,0.341104,-0.696564,-0.959320
12.086616,0.443651,-2.534179,-0.108317
12.116553,1.855767,-3.513989,0.126980
12.146522,1.912896,-4.261213,0.216481
12.186469,0.370362,-2.152495,-0.238039
12.216437,0.627785,-0.285668,-0.425499
12.246360,0.091793,0.535936,-0.079188
12.286308,-0.503220,0.564688,-0.041360
12.316276,-0.521565,2.086680,0.171301
12.346214,-0.065990,4.102372,0.328455
12.386161,0.432058,6.032726,0.234323
12.416129,0.279799,7.942902,0.505103
12.446067,-0.451167,8.472819,0.732312
12.486015,-1.545560,6.362324,0.214228
12.515983,-2.003271,6.249085,0.478691
12.545951,-1.200079,7.401938,0.508251
12.585899,-1.133237,6.930738,0.574569
12.615836,-0.700447,5.774655,1.096568
12.645805,-0.975564,2.854850,0.744995
12.685752,-0.079466,0.728079,0.016703
12.715690,0.781187,-0.255028,-0.013647
12.745658,1.101552,-2.565173,0.195709
12.785606,1.872497,-6.397001,0.436768
12.815574,1.677503,-8.894890,0.391710
12.845512,0.802975,-9.959157,0.120858
12.885459,0.295649,-9.381671,0.661176
12.915427,0.151983,-7.158165,0.614605
12.945365,1.373291,-5.971940,-0.297319
12.985313,1.212183,-4.577594,-0.327406
13.015281,2.630077,-4.575814,-0.231172
13.045219,3.017472,-2.678306,-0.053499
13.085166,1.040090,-1.621835,-0.584431
13.115135,0.282669,-0.821160,-0.271069
